Source,ownership,Region,Name,Country,address,City and Region,State,description,Simple Category,Full Category,E-mail,Website,Phone,Facebook,Lat,Long,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus / Facebook,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,,g_Rating,g_Types,open_CONTACT FIRST NAME,open_CONTACT SURNAME,open_CONTACT POSITION,IMAGE URL,FUNCTION,THEME,FORM,FOCUS,SUBMITTER FIRST NAME,SUBMITTER SURNAME,SUBMITTER EMAIL,SUBMITTER ORGANISATION,ADDRESS 1,ADDRESS 2,ADDRESS 3,Address 4,POSTCODE,address_open,description_open,Full Category_open,Lat_open,Long_open,faire_category,faire_annual,faire_name,faire_year,faire_event_type,faire_event_start_date,,giz_impact
Ananse,university,India,Centre for Appropriate Rural Technologies,India,"NIE , Mysore ",Mysore ,Karnataka ,,Appropriate Technology,innovation space ,cart_nie@yahoo.com,,91-821-5250502,,12.28063285,76.64102623,,This is a space wich build innovative rural technologies ,,,,,,,,,,,,,,,,,,,,,,,,,"NIE , Mysore ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWB,university,India,Centre for Rural Development and Technology,India,"IIT Delhi ,  Hauz Khas, New Delhi, Delhi 110016, India",Delhi,Delhi,"To Develop Technology, Disseminate the same, train man power, create awareness & reach out to Rural Areas for Sustainable Development",Appropriate Technology,innovation space ,Dr Rajendra Prasad - rprasadiitd@gmail.com,http://crdt.iitd.ac.in/,91-9810742111,,28.5485678,77.1897837,, ,,,,,,,,,,,,,,,,,,,,,,,,,"IIT Delhi , Hauz Khas, New Delhi, Delhi 110016, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,Centre Songha_,Benin,,Porto-Novo,,"Songha_ est motive pour l_essentiel : le bonheur ! Par l_impulsion du developpement socio-economique durable. Point de bonheur, dans : l_insuffisance alimentaire ; l_exode rural ; la fuite des cerveaux ; l_economie extravertie ; la degradation de l_environnement ; la perte d_espoir en l_avenir chez les jeunes ; l_agriculture de subsistance ; la non valorisation de l_opportunite que constitue la croissance demographique ; etc.
  
  Ce desir permanent et constant du bonheur nous anime depuis toujours. Nous participons » la recherche de ce bonheur, pas seulement pour nous de mani_re ego_ste, mais pour le plus grand nombre des humains d_Afrique et d_ailleurs.",Appropriate Technology,Appropriate Technology Facilities,songhai@songhai.org,www.songhai.org,229 20 24 60 92,,6.5044009,2.6151055,,,,,,,,,,,,,,,,,,,,,,,,,", Porto-Novo, Benin",,"Porto Novo, Benin","6.5044009, 2.6151055",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a0d1cdfdb18b6fc66de159f0b045c8a6ed9c11d1,ChIJe4j9_aZQOxAREzcy5zMCfGo,Songhai r√©gional,,4.3,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul,Govt Suported R&D Incubator,India,Composites Technology Park,India,"205, Bande Mutt, Kengeri Satellite Township, 
 Bangalore - 560060",Bangalore,Karnataka,,Appropriate Technology,"Technology development for Composites, Jute, Bamboo etc","Dr. R. Gopalan 
 Executive Director, drgopalan2003@yahoo.com",www.compositestechnologypark.com,080 6599 7605,,12.9790736,77.5913996,,,,,,,,,,,,,,,,,,,,,,,,,,,"205, Bande Mutt, Kengeri Satellite Township, 
 Bangalore - 560060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,Creating Competitive Livestock Entrepreneurs in Agribusiness (Ghana),Ghana,"CCLEAr ABI, P.O.BOX AH 20","Achimota, Ghana",,"CCLEAr is a public-private agribusiness incubator company limited by guaran-ty jointly owned by Council for Scientific and Industrial Research-Animal Re-search Institute (CSIR-ARI), University of Ghana, Ministry of Food and Agricul-ture, Heifer International (NGO) and Humberg Farms.
  CCLEAr is an initiative of UniBRAIN dedicated to promoting commercialisa-tion of livestock based technologies (poultry, small ruminants, grass cutter).
  CCLEAr is proud to have Samora Meat Co supported by DIBcoop of the Neth-erlands as partners in creating the first integral value chain that will assure the highest standards of animal care, health and food safety in delivering West African_s preferred grasscutter delicacy from small producers to consumers.",Appropriate Technology,"Appropriate Technology Facilities, business incubator",nhyirapapa@yahoo.com,http://www.cclear.org/,Dr Emmanuel Adu: (Tel: +233) 302 9121,http://www.fara-africa.org/our-projects/unibrain/abou/,5.612781,-0.234345,,,,,,,,,,,,,,,,,,,,,,,,,"Achimota, Ghana, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,,,Gaviotas,Colombia,"Gaviotas, Vichada",Vichada,,"Gaviotas is a village in Colombia, South America. For four decades, Gaviotans have struggled to build an oasis of imagination and sustainability in the remote, barren savannas of eastern Colombia, an area ravaged by political instability. They have planted millions of trees, thus regenerating an indigenous rainforest. They farm organically and use wind and solar power. Every family enjoys free housing, community meals, and schooling. There are no weapons, no police, no jail. There is no mayor.

The United Nations named the village a model of sustainable development. Gabriel Garcia Marquez has called founder Paolo Lugari the ""inventor of the world.""",Appropriate Technology,appropriate tech,,http://www.friendsofgaviotas.org,,,4.5681,-70.8984,,,,,,,,,,,,,,,,,,,,,,,,,,"-70.8984,4.5681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Brong Ahafo,Ghana,Inner Ring Rd.Opposite Kwagisco Complex Store,"Sunyani, Brong Ahafo",,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,035 2027262,,7.332778,-2.328056,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Inner Ring Rd.Opposite Kwagisco Complex Store, Sunyani, Brong Ahafo, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Central,Ghana,"Near Ameen Sangari, Off Cape Coast _ Takoradi Rd.",Cape Coast,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,033 2132762,,5.112024,-1.279126,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Near Ameen Sangari, Off Cape Coast _ Takoradi Rd., Cape Coast, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Eastern,Ghana,Near Jackson Park.,Enchi,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,034 2023229,,5.816667,-2.816667,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Near Jackson Park., Enchi, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Greater Accra (head GRATIS office),Ghana,"Heavy Industrial Area, Tema, Opposite Cocoa Processing Factory.",Tema,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,"0303 207610, 0303 207608",,5.666667,0,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Heavy Industrial Area, Tema, Opposite Cocoa Processing Factory., Tema, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Northern,Ghana,"Light Industrial Area, Lamashegu","Lamashegu, Tamale",,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,037 2022890,,9.4075,-0.853333,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Light Industrial Area, Lamashegu, Lamashegu, Tamale, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Rural Technology Service Centre Ashanti Mampong,Ghana,"Industrial Area, Mampong _ Ejura Road.",Mampong,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,0561 22123,,7.060783,-1.412725,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Industrial Area, Mampong _ Ejura Road., Mampong, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Rural Technology Service Centre Drobo,Ghana,Near Drobo Market,Drobo,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,"0642 22511, 0642 22515",,7.583581,-2.78545,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Near Drobo Market, Drobo, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Rural Technology Service Centre Techiman,Ghana,Techiman Magazine,Techiman,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,0653 22708,,7.577222,-1.929167,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Techiman Magazine, Techiman, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Upper East,Ghana,"Near Ghana National Fire Service Offices, Off Bolga- Bawku Road",Bolgatanga,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,038 2023015,,10.783333,-0.85,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Near Ghana National Fire Service Offices, Off Bolga- Bawku Road, Bolgatanga, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Upper West,Ghana,a -Tumu Road near Cotton Ginnery.,Wa,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,039 2022211,,10.066667,-2.5,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"a -Tumu Road near Cotton Ginnery., Wa, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Volta,Ghana,Near Regional Police Headquarters.,Volta,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,036 2027157,,6.578137,0.450237,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Volta, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,GRATIS Western,Ghana,"Adjacent Prime Wood Products, Effia _ Nkwanta Takoradi Road.",Takoradi,,"GRATIS Foundation, incorporated in December 1999, evolved from the Ghana Regional Appropriate Technology Industrial Service ( GRATIS ) Project, which was established in 1987 by the Government of Ghana with support from the European Union and the Canadian International Development Agency to promote small-scale industrialization in Ghana. There are 9 GRATIS centers and multiple affiliated Rural Technology Service Centres throughout Ghana.",Appropriate Technology,Appropriate Technology Facilities,gratisghana@gmail.com,www.gratis-ghana.com,031 22662,,4.931284,-1.780186,,,,,Get personal emails,,,,,,,,,,,,,,,,,,,,"Adjacent Prime Wood Products, Effia _ Nkwanta Takoradi Road., Takoradi, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
