Source,"Changed, corrected",Region,Name,Country,address,City and Region,State,description,Category,Full Category,E-mail,Website,Phone,Facebook,Degrees,Long,Lat,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,g_Hours,g_Rating,g_Types,State
Makerspace.com,,USA,Valdosta Makerspace,USA,"Valdosta, GA","Valdosta, GA", GA,,Makerspace/Hackerspace,,,Valdosta Makerspace,,,,-83.2892,30.8472,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500 N Patterson St, Valdosta, GA 31698, United States","30.8471688, -83.2892162",https://maps.gstatic.com/mapfiles/place_api/icons/library-71.png,3b66e6249132b5126604409372ed25ef8110e536,ChIJJapdyxxn7ogRYx5l4EQmDgY,Odum Library,,,"[u'library', u'point_of_interest', u'establishment']", GA
Hackerspaces.org,,USA,Project Hub,USA,"Upstate, South Carolina","Upstate, South Carolina", South Carolina,,Makerspace/Hackerspace,,,,,,,-82.6345,34.5297,,,,https://wiki.hackerspaces.org/Project_Hub,building,,,,,41547,,,,,,,,,,,Upstate,South Carolina,,,34.529716,,,,,,,,,,, South Carolina
fab_lab,,USA,Upper St. Clair Fab Lab,USA,"Upper St. Clair High School, 1825 McLaughlin Run Road 15241, ","Upper St. Clair (Pittsburgh), PA", PA,"The Upper St. Clair Fab Lab is embedded in a high school in suburban Pittsburgh and aligns design and digital fabrication to education standards enabling a robust STEM experience for ALL students. The Upper St. Clair High School Fab Lab and Innovation Hub was launched with the start of the 2014-15 school year and contains two components _éç a state-of-the art digital fabrication laboratory, or FAB Lab (one of the first in Pennsylvania), and SHOP @USC. It serves as a resource center to bridge the concepts taught in traditional classrooms and the real-world applications of those concepts for every high school student.The FAB Lab can integrate any subject from English to social studies to art with fields like engineering, design, and fabrication. The FAB Lab utilizes three-dimensional printing, laser engraving, vinyl cutting, wood routing, three-dimensional scanning, and computer design programs.SHOP@USC (Showing How Opportunity Pays @ USC) provides opportunities for students with significant disabilities and students in the Life Skills Support Program with the opportunity to establish and run their own business. SHOP@USC also provides authentic peer interactions between non-disabled students and students with disabilities. The students are producing and selling greeting cards and specialty USC spirit wear.",Fab Lab,,sstroyne@uscsd.k12.pa.us,http://youtu.be/eBDykiSnbhY,412-833-1600,"<>, <>, <>, <>, <>",,-80.087,40.3206,"three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",The Upper St. Clair Fab Lab is embedded in a high school in suburban Pittsburgh and aligns design and digital fabrication to education standards enabling a robust STEM experience for ALL students.,https://www.fablabs.io/USCFabLab,,,,,,,,,,,,,,,,,,,,,,40.32057,,,,,,,,,,, PA
Hackerspaces.org,,USA,Hickory Hackers Space,USA,United States of America,", North Carolina", North Carolina,,Makerspace/Hackerspace,,,,,,,-82.5733,35.5744,,,,https://wiki.hackerspaces.org/Hickory_Hackers_Space,planned,,,,,40769,,,,N/a,,,,"N/a, We are trying a membership base then go from there.",,,,North Carolina,,N/a,"35_ 34' 28"", -82_ 34' 24""",,"1111 D Hawthorne LN, Charlotte, NC 28205, United States","35.2243891, -80.8169541",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e6f300fd84c2a04ca4e0e8976b0bf662e8bc60dc,ChIJGVM3SASgVogRvrPrNbdR-Lg,Hackerspace Charlotte,,,"[u'point_of_interest', u'establishment']", North Carolina
Hackerspaces.org,,USA,The Hacker Foundation,USA,United States of America,", California", California,,Makerspace/Hackerspace,,,http://www.hackerfoundation.org/,,,,-121.404,38.421,,,,https://wiki.hackerspaces.org/The_Hacker_Foundation,,,,,,41187,,,,,,,,,,,,California,,,,,"8170 Laguna Blvd Suite 220, Elk Grove, CA 95758, United States","38.421023, -121.404382",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,760e61388870556c2ba5ef8c984b5d811319a122,ChIJxfRNRqvHmoARRzYR1oaNAa0,"Trevor W. Hacker, MD: Family Medicine, Sutter Medical Group",,,"[u'doctor', u'health', u'point_of_interest', u'establishment']", California
Hackerspaces.org,,USA,SocialGeeks,USA,"Twin Falls, 83301, ","Twin Falls, Idaho", Idaho,"SocialGeeks seeks to provide the College of Southern Idaho students, faculty, potential students, and surrounding community with an environment to explore, learn, and share a wide range of technologically related topics, trade-skills, and artwork via lectures, projects, events, and in-person/online engaging collaboration.",Makerspace/Hackerspace,,socialgeeks@gmail.com,http://www.socialgeeks.com,,https://www.facebook.com/group.php?gid=106464356083391,,-114.461,42.5631,,,,https://wiki.hackerspaces.org/SocialGeeks,active,,http://www.youtube.com/socialgeeks,,,40559,,,40456,4,,,,Currently free to all CSI students and members of the community.,,,Twin Falls,Idaho,,,"42_ 33' 47"", -114_ 27' 38""",,,,,,,,,,, Idaho
Hackerspaces.org,,USA,Neverlan,USA,Twin Falls,"Twin Falls, Idaho", Idaho,,Makerspace/Hackerspace,,,,,,,-114.453,42.5717,,,,https://wiki.hackerspaces.org/Neverlan,building,,,,,41590,no,,41587,13,,,,Free to public school students.,,no,Twin Falls,Idaho,,,"42_ 34' 18"", -114_ 27' 10""",,,,,,,,,,, Idaho
Hackerspaces.org,,USA,The Ambiguous Consortium,USA,"Tulsa, Oklahoma","Tulsa, Oklahoma", Oklahoma,,Makerspace/Hackerspace,,,,,,,-95.9928,36.154,,,,https://wiki.hackerspaces.org/The_Ambiguous_Consortium,building,,,,,40518,,,40087,3,,,,Pay for what you use and only charge others cost of materials. (Yearly membership fee will be established once we have more tools to justify it),,,Tulsa,Oklahoma,,,36.153982,,,,,,,,,,, Oklahoma
Hackerspaces.org,,USA,Southern Arizona Technology Lab,USA,Tucson,"Tucson, Arizona", Arizona,,Makerspace/Hackerspace,,,http://satl.info,,,,-110.944,32.2275,,,,https://wiki.hackerspaces.org/Southern_Arizona_Technology_Lab,planned,,,,,41539,maybe,,39807,16,,,,,,maybe,Tucson,Arizona,,,"32_ 13' 39"", -110_ 56' 37""",,"3601 E 34th St, Tucson, AZ 85713, United States","32.194619, -110.915206",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,6559ddc7fac45d932399ebb63126da261409d581,ChIJvzlCqwhw1oYRabpI2e9SSFc,Pace Technologies,,,"[u'store', u'point_of_interest', u'establishment']", Arizona
Makerspace.com,,USA,THINQubator,USA,"Troy, NY","Troy, NY", NY,,Makerspace/Hackerspace,,,THINQubator,,,,-73.6918,42.7284,,,,,,,,,,,,,,,,,,,,,,,,,42.728412,,,,,,,,,,, NY
Hackerspaces.org,,USA,Trenton Atelier,USA,Trenton,"Trenton, New Jersey", New Jersey,,Makerspace/Hackerspace,,,http://trentonatelier.com/,,http://www.facebook.com/trenton.atelier,,-74.7617,40.2242,,,,https://wiki.hackerspaces.org/Trenton_Atelier,active,,,http://www.ustream.tv/channel/trenton-atelier,,40881,,,36526,10,,,,,,,Trenton,New Jersey,,,"40_ 13' 27"", -74_ 45' 42""",,"220 Allen St, Trenton, NJ 08618, United States","40.2243488, -74.7620226",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a9893e34e977e14d474902a2fa5b4ca8257b80bf,ChIJvUjknctZwYkRDUaLqc9ZSP0,Trenton Atelier,,,"[u'art_gallery', u'point_of_interest', u'establishment']", New Jersey
