Source,Region,Hackerspace,Country,address,City and Region,description,Category,E-mail,Website,Phone,Degree Location,Lat,Long,"Combined Long, Lat",Facebook,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Degree Location
fab_lab,Europe,Fab Lab Airedale,Great Britain,",  BD21 4JR, ","Keighley, ", ,,,http://www.linkedin.com/company/2570096?trk=tyah,,,-1.8941193,53.8690065,"53.8690065, -1.89411930000006","<https://twitter.com/FabLabAiredale>, <https://www.facebook.com/FabLabAiredale>, <http://www.fablabairedale.org>, <>, <>",", , , , , ",,https://www.fablabs.io/fablabairedale,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Austurland,Iceland,"MÃ_rargata 10,  740, Fab Lab Austurland is located in verkkennsluhÃºs and you can enter by the metal stairs on the back (south side) of the building.","Neskaupstadur, FjarÃ°abyggÃ°","Fab Lab Austurland was opened in November 2014 as a collaboration between the VerkmenntaskÃ_li Austurlands (vocational school), NÃ_skÃ¶punarmiÃ°stÃ¶Ã° Ãçslands (Innovation centre of Iceland) and AusturbrÃº. ",,fablabausturland@gmail.com,https://sites.google.com/site/fablabausturland/home/fab-lab-austurland-opnadh,4771285,,-13.68020577,65.14858199,"65.1485819889352, -13.6802057709167","<https://www.facebook.com/profile.php?id=100007839649489>, <http://wiki.fablab.is/wiki/Fab_Lab_Austurland>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","Fab Lab Austurland was opened in November 2014 as a collaboration between the VerkmenntaskÃ_li Austurlands (vocational school), NÃ_skÃ¶punarmiÃ°stÃ¶Ã° Ãçslands (Innovation centre of Iceland) and AusturbrÃº.",https://www.fablabs.io/fablabausturland,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,"FabLab Saudarkrokur, Innovation Center Iceland",Iceland,",  , ","SauÃ°Ã¡rkrÃ_kur, Northwest", ,,,http://www.fablab.is/w/index.php/Main_Page/%C3%8Dslenska,,,-19.64060553,65.74163493,"65.7416349296638, -19.6406055251313","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/fablabsaudarkrokurinnovationcentericeland,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Peacock's DIGI,Great Britain,"21 Castle Street,  AB11 5BQ, ","Aberdeen, ","Peacock's DIGI is based at 21 Castle Street, Aberdeen. Peacock's DIGI is Aberdeen's friendliest digital fabrication studio!
Our studio is based in 21 Castle Street and hosts a wide range of digital fabrication tools, offering low cost access to equipment and knowledge to help turn your ideas into reality.
The Peacock's DIGI team has real-world, professional experience in graphic design, mechanical engineering, jewellery making, coding, sculpture, web design, photography, film-making, electronics and circuit board design as well as a genuine love of tinkering and making. 
We offer open access to various machines: 3D printers, 3D scanners, laser cutter/engraver, soldering and electronic equipment, hand tools etc.
We also have computers with Photoshop, Illustrator, Maya, SketchUp, Rhino, AutoCad, Final Cut, Office and more.
Come visit us and see what you can create!",,iain@peacockvisualarts.co.uk,https://www.facebook.com/makeaberdeen,+44(0)1224 639539,,-2.0921654,57.1484917,"57.1484917, -2.0921654","<>, <>, <>, <>, <>","three_d_printing, circuit_production, laser, , , ","Peacock's DIGI is based at 21 Castle Street, Aberdeen.",https://www.fablabs.io/peacocksdigi,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Manchester,Great Britain,"Chips, 2 Lampwick Lane M4 6BU, For sat nav use M4 6EE","Manchester, Greater Manchester", ,,info@fablabmanchester.org,https://twitter.com/fablabmcr,+44 (0)161 205 0070,,-2.220130523,53.48208059,"53.4820805928639, -2.22013052327884","<https://www.facebook.com/FabLabMcr>, <http://www.fablabmanchester.org/>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/fablabmanchester,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fablab@Ironbridge,Great Britain,"Coach Rd,  TF8 7DQ, Look for the railway viaduct and decorated clock tower of the Museum of Iron in Coalbrookdale and the lab is situated within the museum called Enginuity.","Coalbrookdale, ","FABLAB within Enginuity, the National Design and Technology centre, based near the world's first Ironbridge in Shropshire. The first FABLAB to be installed within a museum and has a wide variety of machinery available for use including a 1200mm x900mm laser cutter. As with other labs there is the capability to undertake a number of personal projects as well as the potential for school use too. With 6 computer stations available it is possible to manage a small number of students at the same time. ",,phil.smith@ironbridge.org.uk,,01952 435973,,-2.4918088,52.6391669,"52.6391669, -2.49180879999994","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","FABLAB within Enginuity, the National Design and Technology centre, based near the world's first Ironbridge in Shropshire.",https://www.fablabs.io/fablabironbridge,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Makerspace 56,France,"Place Albert Einstein,  56000, ","Vannes, ", ,,,http://www.makerspace56.org,,,-2.7541692,47.6423116,"47.6423116, -2.75416919999998","<>, <>, <>, <>, <>","three_d_printing, , , , , ",,https://www.fablabs.io/makerspace56,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Ellesmere Port,Great Britain,"53 Whitby Road,  CH65 8AB, ","Ellesmere Port, Cheshire", ,,fablabep@manufacturinginstitute.co.uk,https://www.facebook.com/FabLabEllesmerePort,+44 (0)151 3568018,,-2.8993004,53.2798455,"53.2798455, -2.89930040000002","<https://twitter.com/FabLabEllesmere>, <http://www.fab-lab-ellesmereport.org/>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, vinyl_cutting, ",,https://www.fablabs.io/fablabellesmereport,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,DEUSTO FabLab,Spain,"Avda. Universidades, 24,  48007, ","Bilbao, Vizcaya", ,,fablab@deusto.es,,,,-2.940301,43.271698,"43.271698, -2.94030099999998","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/deustofablab,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Liverpool,Great Britain,"John Lennon Art and Design Building, Duckinfield St L3 5YD, ","Liverpool, Meseyside", ,,,https://www.ljmu.ac.uk/,0151 904 1145,,-2.9706653,53.4048431,"53.4048431, -2.97066530000006","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/fablabliverpool,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Vestmannaeyjar Iceland,Iceland,"Dalavegur 2,  900, ","VestmannaeyjabÃ_r, ",Fab Lab Vestmannaeyjar Iceland is the first Fab Lab in Iceland and was established in 2008. The focus has been into education for secondary schools and elementary schools. ,,frosti@nmi.is,https://www.facebook.com/FabLabIsland/?fref=ts,+354 522 9440,,-20.2703112,63.4356322,"63.4356322, -20.2703112","<http://wiki.fablab.is>, <http://www.fablab.is>, <http://www.nmi.is/impra/fab-lab>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",Fab Lab Vestmannaeyjar Iceland is the first Fab Lab in Iceland and was established in 2008. The focus has been into education for secondary schools and elementary schools.,https://www.fablabs.io/vestmannaeyjar,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab ReykjavÃ_k,Iceland,"Eddufell 2,  111, ","ReykjavÃ_k, ","Fab Lab Reykjavik was opened on January 24th, 2014 as a collaboration between the ReykjavÃ_kurborg, FjÃ¶lbrautaskÃ_linn Ã_ BreiÃ°holti and NÃ_skÃ¶punarmiÃ°stÃ¶Ã° Ãçslands. ",,reykjavik@fablab.is,https://sites.google.com/site/fablabiceland/home,('+354) 567 5522,,-21.8231929,64.1015297,"64.1015297, -21.8231929","<https://secure.flickr.com/photos/fablab-reykjavik/>, <https://www.facebook.com/fablabreykjavik/>, <http://fablab.is/reykjavik>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","Fab Lab Reykjavik was opened on January 24th, 2014 as a collaboration between the ReykjavÃ_kurborg, FjÃ¶lbrautaskÃ_linn Ã_ BreiÃ°holti and NÃ_skÃ¶punarmiÃ°stÃ¶Ã° Ãçslands.",https://www.fablabs.io/reykjavik,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,"Fab Lab Akranes, Innovation Center Iceland",Iceland,",  , ","Akranes, West", ,,,http://fablabakranes.is,,,-22.07443,64.322357,"64.322357, -22.07443","<>, <>, <>, <>, <>",", , , , , ",,https://www.fablabs.io/fablabakranesinnovationcentericeland,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,FabLab Isafjordur,Iceland,"Torfnes,  400, Located at the local High School, ground floor","ÃçsafjÃ¶rÃ°ur, ","Fab Lab ÃçsafjÃ¶rÃ°ur was formally opened in January 2013 as a collaboration between MenntaskÃ_linn Ã¡ ÃçsafirÃ°i, NÃ_skÃ¶punarmiÃ°stÃ¶Ã° Ãçslands, ÃçsafjarÃ°arbÃ_r,sÃºÃ°avÃ_kurhreppur and BolungarvÃ_kurkaupstaÃ°ur. ",,doddi@nmi.is,https://www.flickr.com/photos/fablab-isafjordur/,3545229463,,-23.1328401,66.0730106,"66.0730106, -23.1328401000001","<https://www.facebook.com/pages/Fab-Lab-%C3%8Dsland/1434207130207169>, <http://wiki.fablab.is/wiki/Fab_Lab_Portal>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","Fab Lab ÃçsafjÃ¶rÃ°ur was formally opened in January 2013 as a collaboration between MenntaskÃ_linn Ã¡ ÃçsafirÃ°i, NÃ_skÃ¶punarmiÃ°stÃ¶Ã° Ãçslands, ÃçsafjarÃ°arbÃ_r,sÃºÃ°avÃ_kurhreppur and BolungarvÃ_kurkaupstaÃ°ur.",https://www.fablabs.io/fablabisafjordur,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Basque fab Lab ( power by Denokinn),Spain,"El ÃÅrbol Kalea, 26 48980 Santurtzi Bizkaia,  48370, Es el edificio de madera.","Santurtzi ( Antes Bermeo), Basque Country", ,,,https://twitter.com/basquefablab,,,-3.0456292,43.3200563,"43.3200563, -3.04562920000001","<https://www.facebook.com/pages/Basque-Fab-Lab/301650463329346>, <http://www.basquefablab.com>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/basquefablab,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Cardiff,Great Britain,"Western Avenue, Llandaff Campus CF5 2YB, ","Cardiff, ", ,,hello@fablabcardiff.com,http://fablabcardiff.com,+44 (0)29 2020 5572,,-3.2126153,51.4964767,"51.4964767, -3.21261530000004","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/fablabcardiff,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,BEC Fab Lab,Great Britain,"Unit 4, Derwent Mills Commercial Park, Wakefield Rd CA13 0HT, ","Cockermouth, Cumbria"," The objective of the BEC Fab Lab is to help develop a community of inventors, entrepreneurs and enthusiasts who will benefit both from the facilities and the interaction it will provide, in the process helping to stimulate economic growth. Encouraging innovation is a significant part of the West Cumbria Economic Blueprint â€“ a document which sets out a long-term vision for the region's development based around low carbon energy.",,becfablab@gmail.com,http://www.becfablab.org,1900825080,,-3.3664832,54.6671405,"54.6671405, -3.36648319999995","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/becfablab,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fablab Lannion - KerNEL,France,"14 Rue de Beauchamp,  22300, Use the small portal","Lannion, ", ,,contact@fablab-lannion.org,http://fablab-lannion.org,+33 2 96 37 84 46,,-3.4509764,48.7317261,"48.7317261, -3.45097639999994","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, , , ",,https://www.fablabs.io/fablablannion,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,FabLab Madrid Medialab-Prado,Spain,"Calle Alameda, 15, PLAZA DE LAS LETRAS 28014, ","Madrid, Madrid","The lab will serve mainly as support for the different activities of the center, including development of prototypes. ""Medialab-Prado is a program part of the Department of Arts, Sports and Tourism of the Madrid City Council. It is conceived as a citizen laboratory for the production, research and dissemination of cultural projects that explore collaborative forms of experimentation and learning that have emerged from digital networks.""
As such, the Fab Lab will serve as place to prototype ideas resulting from projects or lines of work within Medialab-Prado's own programming. 
The Fab Lab will also feature a basic training program for machine use and techniques, as well as advanced and specific courses.",,fablab@medialab-prado.es,http://medialab-prado.es/,912191157,,-3.6935646,40.4108729,"40.4108729, -3.69356459999995","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, laser, vinyl_cutting, , ","The lab will serve mainly as support for the different activities of the center, including development of prototypes.",https://www.fablabs.io/fablabmadridmedialabprado,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Makespace Madrid,Spain,"Pedro Unanue 16,  28045, We're keeping the original decoration of the garage. Look for ""Taller Rios"" signal and the bright yellow posters to find us.","Madrid, Madrid","A community driven space devoted to digital fabrication in Madrid, Spain. We work on Internet of Things, 3D printing and open design projects. Makespace Madrid is a non-profit organization that helps people to make their projects come true using digital fabrication tools. We're a very diverse community of engineers, architects, designers and artists with huge curiosity. 
Some of our members are working on Internet of Things (connected objects and wireless sensor networks) and 3D Printing, with a focus on self replicable machines (RepRap project and local Clone Wars initiative)
Our space is in continual improvement and evolving very fast. Would you like to know more? We have open days on Tuesday afternoons from 16:30 to 20:30. ",,info@makespacemadrid.org,http://wiki.makespacemadrid.org,+34 91 755 58 77 ,,-3.6945753,40.4035325,"40.4035325, -3.6945753","<http://www.meetup.com/Makespace-Madrid/>, <https://www.facebook.com/pages/Makespace-Madrid/477334925648477>, <http://www.flickr.com/photos/makespacemadrid>, <https://twitter.com/@MakeSpaceMadrid>, <http://makespacemadrid.org>","three_d_printing, circuit_production, laser, precision_milling, , ","A community driven space devoted to digital fabrication in Madrid, Spain. We work on Internet of Things, 3D printing and open design projects.",https://www.fablabs.io/makespacemadrid,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab IED Madrid,Spain,"Av Pedro Diez 3,  28019, Easiest way to arrive is Metro Oporto (line 5) , General Ricardos exit.
Another public transport option are EMT bus lines numbers 34, 35 an N26","Madrid, ","Fab Lab IED Madrid was born with the compromise of joining both design theory and prototyping. The space has the usual infrastructure for digital fabrication, but also focuses on traditional crafts. Fab Lab IED Madrid was born with the compromise of joining both design theory and fabrication. The space has all the usual infrastructure for digital fabrication, but also focuses on traditional crafts with infrastructure that is not easy to find available together in one place, as painting booth,  welding facilities, woodworking stations, vacuformer, photographic processing, screen printing, etc.
Fab Lab IED facilities have more than 300 square meters dedicated to these tasks and we encourage experimentation and discovery. ItÂ´s focused in three main groups of users:
- Actual and former students of IED Madrid.
- Entrepreneurs and partner enterprises, that will have the possibility to develop their projects both in the business and prototyping areas.
- Maker community and people involved in embracing both education, design and open minded fabrication.",,i.prieto@madrid.ied.es,,-,,-3.72893,40.39057,"40.39057, -3.72892999999999","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","Fab Lab IED Madrid was born with the compromise of joining both design theory and prototyping. The space has the usual infrastructure for digital fabrication, but also focuses on traditional crafts.",https://www.fablabs.io/fablabiedmadrid,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,FabLabUPM,Spain,"Campus de Montegancedo, Edificio C.A.I.T. 28223, ","Pozuelo, Madrid","FabLab de la Universidad PolitÃ©cnica de Madrid (UPM) abierto a todo el mundo y especializado en FabricaciÃ_n, FormaciÃ_n e InvestigaciÃ_n. El FabLabUPM es un centro de prototipado y fabricaciÃ_n digital que pretende dar acceso a maquinaria de fabricaciÃ_n digital a diseÃ±adores al mismo tiempo que promueve la cultura maker en la sociedad. 
El laboratorio tiene tres Ã¡reas de trabajo principales, la fabricaciÃ_n, la formaciÃ_n y la investigaciÃ_n. 
FABRICACIÃ“N: 
Con la maquinaria del FabLabUPM se puede llegar a prototipar casi cualquier cosa, de modo que de un carÃ¡cter abierto un usuario puede suscribirse al taller y usar Ã©l mismo cualquiera de las mÃ¡quinas del taller. 
FORMACIÃ“N: 
A travÃ©s de la Universidad PolitÃ©cnica de Madrid el FabLabUPM organiza varios cursos que vinculan la fabricaciÃ_n digital con distintas Ã¡reas, buscando una transversalidad de conocimientos. Los distintos cursos se agrupan en tres Ã¡reas principales: 1- InteracciÃ_n, con la fabricaciÃ_n de prototipos interactivos, 2- FabricaciÃ_n de mÃ¡quinas, principalmente rep-rap y 3- CAD-CAM, uniendo siempre el diseÃ±o y la fabricaciÃ_n. 
INVESTIGACIÃ“N
El FabLabUPM nace como un proyecto de investigaciÃ_n de la Universidad PolitÃ©cnica de Madrid, unido a la Escuela de Arquitectura y en Ã©l se da soporte a los distintos grupos de investigaciÃ_n de la universidad en temas de prototipado y fabricaciÃ_n digital. ",,contacto@fablabupm.com,http://www.fablabupm.com,34609894810,,-3.835065,40.407728,"40.407728, -3.83506499999999","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","FabLab de la Universidad PolitÃ©cnica de Madrid (UPM) abierto a todo el mundo y especializado en FabricaciÃ_n, FormaciÃ_n e InvestigaciÃ_n.",https://www.fablabs.io/fablabupm,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Madrid-CEU,Spain,"Escuela PolitÃ©cnica Superior, Universidad CEU San Pablo , Campus de Monteprincipe 28668, ","Boadilla del Monte, Madrid","Fab Lab Madrid CEU is located at the Madrid-based Institute of Technology (EPS) of CEU San Pablo University. Fab Lab Madrid CEU is located at the Madrid-based Institute of Technology (EPS) of CEU San Pablo University. The Laboratory takes advantage of the creative potential associated to the combination of virtual design and CNC technology (Computer Numeric Control) which is considered the fourth generation of the application of digital technologies to the field of architecture. This technology is related with the material manufacture of digitally designed models through the use of computer-controlled tools (laser cutter, CNC milling machine, 3D Makerbot and so on) and offers the possibility to read from digital files to create the physical components of the models. In Architecture, should be noted specially, the association of this technology with the development of the parametric design, through which it is possible to digitally generate models whose shapes are defined through parameters that are likely to be modified to each embodiment or singular instance.
CEU San Pablo University is a non-profit and private educational institution. The history and experience of this center as a higher education institution dates back to 1933. University San Pablo-CEU has a prestigious faculty of well established professional and academic careers, the Institute of Technology (EPS, Escuela PolitÃ©cnica Superior). It was established in 2001 offering degrees in Architecture, Telecommunication Systems Engineering and Biomedical Engineering. The origin of architecture studies at CEU dates back to 1967.",,fablabceu@ceu.es,https://twitter.com/fablabmadridceu,0034 678968373,,-3.835666,40.399395,"40.399395, -3.83566599999995","<https://www.facebook.com/profile.php?id=100006287478794>, <https://www.flickr.com/photos/126001619@N08/sets/>, <http://fablabmadridceu.wordpress.com/>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",Fab Lab Madrid CEU is located at the Madrid-based Institute of Technology (EPS) of CEU San Pablo University.,https://www.fablabs.io/fablabmadridceu,,,,,,,,,,,,,,,,,,,,,,
